[2026-04-20 10:04:23] ALERT | EAR=0.207<0.22 | EAR:0.207 | Model:Awake | Emotion:sad
[2026-04-20 10:14:47] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:14:49] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:14:59] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:01] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:05] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:07] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:09] ALERT | Model=Drowsy | EAR:0.287 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:14] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:fear
[2026-04-20 10:15:16] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:fear
[2026-04-20 10:15:18] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:15:20] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:15:42] ALERT | Model=Drowsy | EAR:0.215 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:44] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:46] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:48] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:50] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:52] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:54] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:56] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:15:58] ALERT | Model=Drowsy | EAR:0.285 | Model:Drowsy | Emotion:sad
[2026-04-20 10:20:33] ALERT | Model=Drowsy | EAR:0.294 | Model:Drowsy | Emotion:sad
[2026-04-20 10:20:43] ALERT | Model=Drowsy | EAR:0.224 | Model:Drowsy | Emotion:happy
[2026-04-20 10:20:45] ALERT | Model=Drowsy | EAR:0.226 | Model:Drowsy | Emotion:happy
[2026-04-20 10:20:47] ALERT | EAR=0.166<0.22, Model=Drowsy | EAR:0.166 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:04] ALERT | Model=Drowsy | EAR:0.343 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:07] ALERT | Model=Drowsy | EAR:0.316 | Model:Drowsy | Emotion:sad
